,Gen,Name,Wins,Loses,Draws
2,61,dArwIn_G61_1a,2,1,0
3,61,dArwIn_G61_1b,2,1,0
4,61,dArwIn_G61_2a,2,1,0
5,61,dArwIn_G61_2b,2,1,0
6,61,dArwIn_G61_3a,1,2,0
7,61,dArwIn_G61_3b,2,1,0
0,62,dArwIn_G62_0a,2,1,0
1,62,dArwIn_G62_0b,2,1,0
2,62,dArwIn_G62_1a,2,1,0
3,62,dArwIn_G62_1b,3,0,0
4,62,dArwIn_G62_2a,3,0,0
5,62,dArwIn_G62_2b,2,1,0
6,62,dArwIn_G62_3a,2,1,0
7,62,dArwIn_G62_3b,3,0,0
0,63,dArwIn_G63_0a,2,1,0
1,63,dArwIn_G63_0b,1,2,0
2,63,dArwIn_G63_1a,2,1,0
3,63,dArwIn_G63_1b,2,1,0
4,63,dArwIn_G63_2a,1,2,0
5,63,dArwIn_G63_2b,2,1,0
6,63,dArwIn_G63_3a,1,2,0
7,63,dArwIn_G63_3b,2,1,0
0,64,dArwIn_G64_0a,2,1,0
1,64,dArwIn_G64_0b,2,1,0
2,64,dArwIn_G64_1a,2,1,0
3,64,dArwIn_G64_1b,1,2,0
4,64,dArwIn_G64_2a,1,2,0
5,64,dArwIn_G64_2b,2,1,0
6,64,dArwIn_G64_3a,2,1,0
7,64,dArwIn_G64_3b,1,2,0
0,65,dArwIn_G65_0a,2,1,0
1,65,dArwIn_G65_0b,2,1,0
2,65,dArwIn_G65_1a,2,1,0
3,65,dArwIn_G65_1b,2,1,0
4,65,dArwIn_G65_2a,2,1,0
5,65,dArwIn_G65_2b,2,1,0
6,65,dArwIn_G65_3a,1,2,0
7,65,dArwIn_G65_3b,2,1,0
0,66,dArwIn_G66_0a,2,1,0
1,66,dArwIn_G66_0b,2,1,0
2,66,dArwIn_G66_1a,3,0,0
3,66,dArwIn_G66_1b,2,1,0
4,66,dArwIn_G66_2a,2,1,0
5,66,dArwIn_G66_2b,2,1,0
6,66,dArwIn_G66_3a,2,1,0
7,66,dArwIn_G66_3b,2,1,0
0,67,dArwIn_G67_0a,2,1,0
1,67,dArwIn_G67_0b,2,1,0
2,67,dArwIn_G67_1a,1,2,0
3,67,dArwIn_G67_1b,3,0,0
4,67,dArwIn_G67_2a,2,1,0
5,67,dArwIn_G67_2b,2,1,0
6,67,dArwIn_G67_3a,2,1,0
7,67,dArwIn_G67_3b,1,2,0
0,68,dArwIn_G68_0a,2,1,0
1,68,dArwIn_G68_0b,2,1,0
2,68,dArwIn_G68_1a,2,1,0
3,68,dArwIn_G68_1b,2,1,0
4,68,dArwIn_G68_2a,2,1,0
5,68,dArwIn_G68_2b,2,1,0
6,68,dArwIn_G68_3a,3,0,0
7,68,dArwIn_G68_3b,2,1,0
0,69,dArwIn_G69_0a,2,1,0
1,69,dArwIn_G69_0b,2,1,0
2,69,dArwIn_G69_1a,2,1,0
3,69,dArwIn_G69_1b,2,1,0
4,69,dArwIn_G69_2a,1,2,0
5,69,dArwIn_G69_2b,3,0,0
6,69,dArwIn_G69_3a,2,1,0
7,69,dArwIn_G69_3b,1,2,0
0,70,dArwIn_G70_0a,2,1,0
1,70,dArwIn_G70_0b,2,1,0
2,70,dArwIn_G70_1a,2,1,0
